Visitor,Plant,Elevation,Site,Data,Day,Month,Year,ElevationCorrect,Plant2,MinEle,MaxEle,AltZone,EleZone
Bombus hortorum,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus humilis,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1179,P165,Biesmeijer,22,8,2005,1179,Cirsium vulgare,1179,1179,montane,1000-1200
