Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Argynnis paphia,Origanum vulgare,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Euplagia quadripunctaria,Origanum vulgare,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Pieris rapae,Origanum vulgare,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Pyrgus alveus,Origanum vulgare,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Origanum vulgare,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Aglais io,Rubus fruticosus,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Satureja montana,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Polyommatus coridon,Satureja montana,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Polyommatus icarus,Satureja montana,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Hipparchia alcyone,Satureja montana,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus mesomelas,Scabiosa columbaria,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus sichelii,Scabiosa columbaria,9/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Polyommatus icarus,Scabiosa columbaria,9/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Pieris rapae,Scabiosa columbaria,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Aglais urticae,Scabiosa columbaria,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Scabiosa columbaria,6/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Scabiosa columbaria,9/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Verbena officinalis,28/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus mesomelas,Verbena officinalis,28/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Verbena officinalis,28/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Verbena officinalis,28/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Centaurea nigra,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Centaurea nigra,25/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Centaurea nigra,5/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Centaurea nigra,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus quadricolor,Centaurea nigra,5/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Maniola jurtina,Centaurea nigra,5/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Maniola jurtina,Centaurea nigra,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Satureja montana,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Scabiosa columbaria,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Melanargia lachesis,Carduus defloratus,7/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Melanargia lachesis,Carduus defloratus,12/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Centaurea nigra,5/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Centaurea nigra,7/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,5/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,8/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,10/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Rubus fruticosus,29/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Pieris rapae,Verbena officinalis,10/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Pieris rapae,Verbena officinalis,11/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Pieris rapae,Verbena officinalis,28/08/1890,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Aconitum sp.,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Carduus defloratus,6/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Carduus defloratus,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus quadricolor,Carduus defloratus,7/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus quadricolor,Carduus defloratus,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Aconitum sp.,12/08/1889,Gedre,Survey1889,1100,1100,1000-1200
 ,Cirsium monspessulanum,22/08/2005,P156x,Survey2005-06,1105,1105,1000-1200
Bombus bohemicus,Cirsium monspessulanum,22/08/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus lapidarius,Cirsium monspessulanum,22/08/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/08/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus pascuorum,Cirsium monspessulanum,22/08/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus soroeensis,Cirsium monspessulanum,22/08/2005,P156,Survey2005-06,1105,1105,1000-1200
Halictus ,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus ,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Eristalis tenax,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus bohemicus,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/08/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus pascuorum,Centaurea nigra,21/08/2006,P300,Survey2005-06,1109,1109,1000-1200
Bombus soroeensis,Centaurea nigra,21/08/2006,P300,Survey2005-06,1109,1109,1000-1200
Bombus quadricolor,Centaurea nigra,21/08/2006,P300,Survey2005-06,1109,1109,1000-1200
lasioglossum ,Centaurea nigra,21/08/2006,P300,Survey2005-06,1109,1109,1000-1200
lasioglossum ,Centaurea nigra,21/08/2006,P300,Survey2005-06,1109,1109,1000-1200
Bombus quadricolor,Cirsium monspessulanum,21/08/2006,P302,Survey2005-06,1109,1109,1000-1200
diptera ,Cirsium monspessulanum,21/08/2006,P302,Survey2005-06,1109,1109,1000-1200
lasioglossum ,Picris hieracioides,21/08/2006,P301,Survey2005-06,1109,1109,1000-1200
lasioglossum ,Picris hieracioides,21/08/2006,P301,Survey2005-06,1109,1109,1000-1200
lasioglossum ,Picris hieracioides,21/08/2006,P301,Survey2005-06,1109,1109,1000-1200
Halictus ,Cirsium vulgare,22/08/2005,P153,Survey2005-06,1110,1110,1000-1200
Eristalis tenax,Cirsium vulgare,22/08/2005,P153,Survey2005-06,1110,1110,1000-1200
Megachile ,Cirsium vulgare,22/08/2005,P153,Survey2005-06,1110,1110,1000-1200
Megachile ,Cirsium vulgare,22/08/2005,P153,Survey2005-06,1110,1110,1000-1200
Bombus soroeensis,Cirsium vulgare,22/08/2005,P153x,Survey2005-06,1110,1110,1000-1200
 ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Lasioglossum ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Lasioglossum ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Lasioglossum ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Eristalis sp.,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Eristalis tenax,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Lasioglossum ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Epeolus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P155,Survey2005-06,1110,1110,1000-1200
Argynnis aglaja,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Polyommatus coridon,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
 ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
 ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Lasioglossum ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Apis ,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus lapidarius,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus pascuorum,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/08/2005,P161,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Halictus ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Lasioglossum ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Apis ,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Eristalis tenax,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Eristalis sp.,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus pascuorum,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus pascuorum,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/08/2005,P162,Survey2005-06,1113,1113,1000-1200
Macroglossa stellatarum,Galeopsis ladanum,22/08/2005,P151,Survey2005-06,1116,1116,1000-1200
 ,Galeopsis ladanum,22/08/2005,P151,Survey2005-06,1116,1116,1000-1200
Bombus sp.,Galeopsis ladanum,22/08/2005,P151,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/08/2005,P151,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/08/2005,P151,Survey2005-06,1116,1116,1000-1200
Bombus terrestris complex,Galeopsis ladanum,22/08/2005,P151x,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/08/2005,P151x,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/08/2005,P151x,Survey2005-06,1116,1116,1000-1200
Bombus quadricolor,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
Bombus pascuorum,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
Hesperia comma,Picris hieracioides,21/08/2006,P304,Survey2005-06,1120,1120,1000-1200
lasioglossum ,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
Sphaerophoria ,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
Sphaerophoria ,Picris hieracioides,21/08/2006,P304,Survey2005-06,1120,1120,1000-1200
 ,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
 ,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
 ,Picris hieracioides,21/08/2006,P303,Survey2005-06,1120,1120,1000-1200
 ,Picris hieracioides,21/08/2006,P304,Survey2005-06,1120,1120,1000-1200
Melanargia lachesis,Cirsium vulgare,22/08/2005,P148,Survey2005-06,1123,1123,1000-1200
Megachile ,Cirsium vulgare,22/08/2005,P148,Survey2005-06,1123,1123,1000-1200
Bombus bohemicus,Cirsium vulgare,22/08/2005,P148,Survey2005-06,1123,1123,1000-1200
Bombus pascuorum,Cirsium vulgare,22/08/2005,P148x,Survey2005-06,1123,1123,1000-1200
Lasioglossum ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Lasioglossum ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
Panurgus ,Crepis sp.,22/08/2005,P147,Survey2005-06,1123,1123,1000-1200
