Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Bombus soroeensis,Origanum vulgare,26/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Verbena officinalis,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Thymus serpyllum,6/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Stachys recta,26/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Marrubium vulgare,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Brunella vulgaris,11/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Campanula rotundifolia,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Campanula rotundifolia,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Campanula rotundifolia,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Verbena officinalis,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Stachys recta,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Sideritis hyssopifolia,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus humilis,Campanula rapunculoides,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus bohemicus,Cirsium monspessulanum,22/8/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus lapidarius,Cirsium monspessulanum,22/8/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/8/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus pascuorum,Cirsium monspessulanum,22/8/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus soroeensis,Cirsium monspessulanum,22/8/2005,P156,Survey2005-06,1105,1105,1000-1200
Bombus bohemicus,Cirsium monspessulanum,22/8/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/8/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/8/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus quadricolor,Cirsium monspessulanum,22/8/2005,P157,Survey2005-06,1105,1105,1000-1200
Bombus pascuorum,Centaurea nigra,21/8/2006,P300,Survey2005-06,1109,1109,1000-1200
Bombus soroeensis,Centaurea nigra,21/8/2006,P300,Survey2005-06,1109,1109,1000-1200
Bombus quadricolor,Centaurea nigra,21/8/2006,P300,Survey2005-06,1109,1109,1000-1200
Bombus quadricolor,Cirsium monspessulanum,21/8/2006,P302,Survey2005-06,1109,1109,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P153x,Survey2005-06,1110,1110,1000-1200
Bombus lapidarius,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus pascuorum,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/8/2005,P161,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/8/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus quadricolor,Centaurea nigra,22/8/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus pascuorum,Centaurea nigra,22/8/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus pascuorum,Centaurea nigra,22/8/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/8/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus soroeensis,Centaurea nigra,22/8/2005,P162,Survey2005-06,1113,1113,1000-1200
Bombus hortorum,Galeopsis ladanum,22/8/2005,P151,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/8/2005,P151,Survey2005-06,1116,1116,1000-1200
Bombus terrestris complex,Galeopsis ladanum,22/8/2005,P151x,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/8/2005,P151x,Survey2005-06,1116,1116,1000-1200
Bombus hortorum,Galeopsis ladanum,22/8/2005,P151x,Survey2005-06,1116,1116,1000-1200
Bombus quadricolor,Picris hieracioides,21/8/2006,P303,Survey2005-06,1120,1120,1000-1200
Bombus pascuorum,Picris hieracioides,21/8/2006,P303,Survey2005-06,1120,1120,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P148,Survey2005-06,1123,1123,1000-1200
Bombus pascuorum,Cirsium vulgare,22/8/2005,P148x,Survey2005-06,1123,1123,1000-1200
Bombus hortorum,Galeopsis ladanum,19/8/2006,P266,Survey2005-06,1123,1123,1000-1200
Bombus humilis,Centaurea nigra,19/8/2005,P132,Survey2005-06,1144,1144,1000-1200
Bombus pascuorum,Centaurea nigra,19/8/2005,P132,Survey2005-06,1144,1144,1000-1200
Bombus soroeensis,Centaurea nigra,19/8/2005,P132,Survey2005-06,1144,1144,1000-1200
Bombus soroeensis,Cirsium vulgare,19/8/2005,P133,Survey2005-06,1144,1144,1000-1200
Bombus soroeensis,Satureja montana,19/8/2006,P260,Survey2005-06,1144,1144,1000-1200
Bombus soroeensis,Satureja montana,19/8/2006,P261,Survey2005-06,1144,1144,1000-1200
Bombus pascuorum,Satureja montana,19/8/2006,P261,Survey2005-06,1144,1144,1000-1200
Bombus pascuorum,Teucrium chamaedrys,26/8/1889,Gedre,Survey1889,1150,1150,1000-1200
Bombus pascuorum,Centaurea nigra,19/8/2005,P137x,Survey2005-06,1150,1150,1000-1200
Bombus pascuorum,Centaurea nigra,19/8/2005,P140,Survey2005-06,1155,1155,1000-1200
Bombus soroeensis,Centaurea nigra,19/8/2005,P140,Survey2005-06,1155,1155,1000-1200
Bombus soroeensis,Cirsium monspessulanum,18/8/2006,P249,Survey2005-06,1172,1172,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P164,Survey2005-06,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,22/8/2005,P164,Survey2005-06,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,22/8/2005,P164,Survey2005-06,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,22/8/2005,P164,Survey2005-06,1176,1176,1000-1200
Bombus mesomelas,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus pascuorum,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus hortorum,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus hortorum,Cirsium vulgare,22/8/2005,P166,Survey2005-06,1176,1176,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus quadricolor,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus bohemicus,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus humilis,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus hortorum,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus soroeensis,Cirsium vulgare,22/8/2005,P165,Survey2005-06,1179,1179,1000-1200
Bombus pascuorum,Rubus fruticosus,22/8/2005,P163,Survey2005-06,1180,1180,1000-1200
Bombus pascuorum,Rubus fruticosus,22/8/2005,P163,Survey2005-06,1180,1180,1000-1200
Bombus pascuorum,Rubus fruticosus,22/8/2005,P163,Survey2005-06,1180,1180,1000-1200
Bombus humilis,Origanum vulgare,21/8/2006,P305,Survey2005-06,1180,1180,1000-1200
Bombus pascuorum,Origanum vulgare,21/8/2006,P305,Survey2005-06,1180,1180,1000-1200
Bombus soroeensis,Origanum vulgare,21/8/2006,P305,Survey2005-06,1180,1180,1000-1200
Bombus quadricolor,Origanum vulgare,21/8/2006,P305,Survey2005-06,1180,1180,1000-1200
Bombus pascuorum,Origanum vulgare,21/8/2006,P305,Survey2005-06,1180,1180,1000-1200
Bombus humilis,Asteracaea senecio?,21/8/2006,P306,Survey2005-06,1185,1185,1000-1200
Bombus quadricolor,Asteracaea senecio?,21/8/2006,P306,Survey2005-06,1185,1185,1000-1200
Bombus pascuorum,Picris hieracioides,31/8/2006,P455,Survey2005-06,1193,1193,1000-1200
Bombus pascuorum,buddleia ,31/8/2006,P457,Survey2005-06,1193,1193,1000-1200
Bombus lapidarius,Crepis sp.,19/8/2005,P141,Survey2005-06,1194,1194,1000-1200
Bombus bohemicus,Crepis sp.,19/8/2005,P142,Survey2005-06,1194,1194,1000-1200
Bombus soroeensis,Crepis sp.,19/8/2005,P142,Survey2005-06,1194,1194,1000-1200
Bombus soroeensis,Crepis sp.,19/8/2005,P142,Survey2005-06,1194,1194,1000-1200
Bombus pascuorum,Verbena officinalis,19/8/2005,P143,Survey2005-06,1198,1198,1000-1200
Bombus quadricolor,Crepis sp.,19/8/2005,P144x,Survey2005-06,1198,1198,1000-1200
Bombus soroeensis,Crepis sp.,19/8/2005,P144x,Survey2005-06,1198,1198,1000-1200
Bombus pascuorum,Carlina acaulis,26/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus pascuorum,Polygala vulgaris,28/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus sichelii,Carduus defloratus,6/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus hortorum,Cirsium eriophorum,24/8/1889,tussen Gedre en Gavarnie,Survey1889,1200,1200,1200-1400
Bombus hortorum,Cirsium acaule,24/8/1889,tussen Gedre en Gavarnie,Survey1889,1200,1200,1200-1400
Bombus lapidarius,Allium lusitanicum,7/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus wurflenii,Brunella grandiflora,7/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus wurflenii,Carlina acanthifolia,28/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus mesomelas,Cirsium monspessulanum,7/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus pratorum,Origanum vulgare,10/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus ruderarius,Centaurea scabiosa,6/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus terrestris complex,Mentha longifolia,10/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus terrestris complex,Carduus defloratus,6/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus terrestris complex,Hypericum perforatum,28/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus humilis,Rubus fruticosus,7/8/1889,Gedre,Survey1889,1200,1200,1200-1400
Bombus soroeensis,Origanum vulgare,19/8/2005,P145,Survey2005-06,1226,1226,1200-1400
Bombus bohemicus,Origanum vulgare,19/8/2005,P145x,Survey2005-06,1226,1226,1200-1400
Bombus terrestris complex,Hypericum perforatum,16/8/2005,P128,Survey2005-06,1244,1244,1200-1400
Bombus soroeensis,Hypericum perforatum,16/8/2005,P128,Survey2005-06,1244,1244,1200-1400
Bombus bohemicus,Eupatorium cannabinum,16/8/2005,P124,Survey2005-06,1271,1271,1200-1400
Bombus bohemicus,Eupatorium cannabinum,16/8/2005,P124,Survey2005-06,1271,1271,1200-1400
Bombus sylvestris,Eupatorium cannabinum,16/8/2005,P124,Survey2005-06,1271,1271,1200-1400
Bombus quadricolor,Eupatorium cannabinum,16/8/2005,P124,Survey2005-06,1271,1271,1200-1400
Bombus terrestris complex,Eupatorium cannabinum,16/8/2005,P124,Survey2005-06,1271,1271,1200-1400
Bombus mesomelas,Carduus defloratus,6/8/1889,Gedre,Survey1889,1300,1300,1200-1400
Bombus quadricolor,Carduus defloratus,6/8/1889,Gedre,Survey1889,1300,1300,1200-1400
Bombus bohemicus,Scabiosa columbaria,16/8/2005,P123,Survey2005-06,1363,1363,1200-1400
Bombus pascuorum,Scabiosa columbaria,16/8/2005,P123,Survey2005-06,1363,1363,1200-1400
Bombus bohemicus,Scabiosa columbaria,16/8/2005,P131,Survey2005-06,1363,1363,1200-1400
Bombus bohemicus,Scabiosa columbaria,16/8/2005,P131,Survey2005-06,1363,1363,1200-1400
Bombus bohemicus,Scabiosa columbaria,16/8/2005,P131,Survey2005-06,1363,1363,1200-1400
Bombus bohemicus,Scabiosa columbaria,16/8/2005,P131,Survey2005-06,1363,1363,1200-1400
Bombus quadricolor,Scabiosa columbaria,16/8/2005,P131,Survey2005-06,1363,1363,1200-1400
Bombus pascuorum,Scabiosa columbaria,16/8/2005,P131,Survey2005-06,1363,1363,1200-1400
Bombus quadricolor,Scabiosa columbaria,16/8/2005,P131x,Survey2005-06,1363,1363,1200-1400
Bombus humilis,Centaurea nigra,21/8/2006,P286,Survey2005-06,1363,1363,1200-1400
Bombus pascuorum,Scabiosa columbaria,21/8/2006,P287,Survey2005-06,1363,1363,1200-1400
Bombus pascuorum,Scabiosa columbaria,21/8/2006,P287,Survey2005-06,1363,1363,1200-1400
Bombus lapidarius,Centaurea nigra,21/8/2006,P288,Survey2005-06,1363,1363,1200-1400
Bombus lapidarius,Centaurea nigra,21/8/2006,P288,Survey2005-06,1363,1363,1200-1400
Bombus hortorum,Centaurea nigra,21/8/2006,P288,Survey2005-06,1363,1363,1200-1400
Bombus soroeensis,Centaurea nigra,21/8/2006,P288,Survey2005-06,1363,1363,1200-1400
Bombus soroeensis,Scabiosa columbaria,21/8/2006,P291,Survey2005-06,1363,1363,1200-1400
Bombus soroeensis,Scabiosa columbaria,21/8/2006,P291,Survey2005-06,1363,1363,1200-1400
Bombus lapidarius,Trifolium repens,10/8/1889,Saugu�,Survey1889,1400,1400,1400-1600
Bombus terrestris complex,Carduus defloratus,10/8/1889,Saugue,Survey1889,1400,1400,1400-1600
